ZINC12296354	-11.3
ZINC12296451	-10.9
ZINC04268295	-10.8
ZINC04015296	-10.4
ZINC68569433	-10.3
ZINC12358610	-10.2
ZINC70708110_1	-10.2
ZINC27215482	-10.1
ZINC68569602	-10.1
ZINC70687298	-10.1
ZINC70708110	-10.1
ZINC02131906	-10.0
ZINC02147462	-10.0
ZINC04265785	-10.0
ZINC08297468	-10.0
ZINC16972176	-10.0
ZINC79190247	-10.0
ZINC79190251	-10.0
ZINC03841970	-9.9
ZINC04292831	-9.9
ZINC08297500	-9.9
ZINC17015933	-9.9
ZINC17196432_1	-9.9
ZINC70665805	-9.9
ZINC79190697	-9.9
ZINC02108385	-9.8
ZINC02136713	-9.8
ZINC04236420	-9.8
ZINC04265783	-9.8
ZINC06624612	-9.8
ZINC08790125	-9.8
ZINC08877857	-9.8
ZINC20611459_1	-9.8
ZINC70707361	-9.8
ZINC79190696	-9.8
ZINC00797200	-9.7
ZINC02093763	-9.7
ZINC03844856	-9.7
ZINC03960761	-9.7
ZINC05413569	-9.7
ZINC06624578	-9.7
ZINC08297458	-9.7
ZINC08297461	-9.7
ZINC16996342	-9.7
ZINC17196432	-9.7
ZINC35424734_1	-9.7
ZINC35424734	-9.7
ZINC43061730_1	-9.7
ZINC68568377	-9.7
ZINC79188830	-9.7
ZINC01875405	-9.6
ZINC02108892	-9.6
ZINC02110917	-9.6
ZINC02111546	-9.6
ZINC02147260	-9.6
ZINC04237181	-9.6
ZINC08297457	-9.6
ZINC08445573	-9.6
ZINC08686803	-9.6
ZINC08877120	-9.6
ZINC08877229	-9.6
ZINC09033168	-9.6
ZINC12885907	-9.6
ZINC12897661	-9.6
ZINC15894229	-9.6
ZINC43061730	-9.6
ZINC70669978	-9.6
ZINC70669979	-9.6
ZINC70701356	-9.6
ZINC70706689	-9.6
ZINC02092281	-9.5
ZINC02108387	-9.5
ZINC02111094	-9.5
ZINC02112119	-9.5
ZINC02113159	-9.5
ZINC02130078	-9.5
ZINC02147389	-9.5
ZINC02159303	-9.5
ZINC03847097	-9.5
ZINC03847098	-9.5
ZINC04237160	-9.5
ZINC04237178	-9.5
ZINC04258888	-9.5
ZINC04265772	-9.5
ZINC05413572	-9.5
ZINC08296606	-9.5
ZINC08790829	-9.5
ZINC08877050	-9.5
ZINC11867126	-9.5
ZINC43061730_2	-9.5
ZINC68601345	-9.5
ZINC70700192	-9.5
ZINC70700897	-9.5
ZINC70706283	-9.5
ZINC70706588	-9.5
ZINC79192430	-9.5
ZINC79193885	-9.5
ZINC79193892	-9.5
ZINC00625257	-9.4
ZINC02092115	-9.4
ZINC02092933	-9.4
ZINC02099788	-9.4
ZINC02103078	-9.4
ZINC02107810	-9.4
ZINC02112232	-9.4
ZINC02113993	-9.4
ZINC02125371	-9.4
ZINC02130834	-9.4
ZINC02147465	-9.4
ZINC02383031	-9.4
ZINC04265783_1	-9.4
